Id,Ingredients,Ingredients_tr
8851,spam luncheon meat,spam öğle yemeği eti
8852,spanish mackerel fillet,İspanyol uskumru filetosu
8853,spanish olive,İspanyol zeytini
8854,spanish olive stuffed pimiento,İspanyol zeytinli biber dolması
8855,spanish onion,İspanyol soğanı
8856,spanish paprika,İspanyol kırmızı biberi
8857,spanish peanut,İspanyol fıstık
8858,spanish peanut skin,İspanyol fıstık derisi
8859,spanish persimmon,İspanyol hurması
8860,spanish pimento stuffed olive,İspanyol yenibahar dolması zeytin
8861,spanish rice,İspanyol pirinci
8862,spanish rice mix,İspanyol pirinç karışımı
8863,spanish saffron,İspanyol safranı
8864,spanish seasoning,İspanyol baharatı
8865,spanish style rice mix,İspanyol usulü pirinç karışımı
8866,sparkling grape juice,köpüklü üzüm suyu
8867,sparkling mineral water,köpüklü maden suyu
8868,sparkling rose,köpüklü gül
8869,sparkling sugar,köpüklü şeker
8870,sparkling water,köpüklü su
8871,spary,azgın
8872,spear,mızrak
8873,spear asparagu,mızrak kuşkonmaz
8874,spear shaped,mızrak şeklinde
8875,spear to,mızraklamak
8876,spearmint,nane
8877,spearmint gumdrop,nane sakızlı
8878,spearmint leave,nane izni
8879,spectrum canola oil,spektrumlu kanola yağı
8880,speculoo cooky,spekülo kurabiyesi
8881,spelt flour,kavuzlu un
8882,spelt kernel,çekirdek
8883,spice,baharat
8884,spice cake mix,baharatlı kek karışımı
8885,spice cake mix pudding,baharatlı kek karışımı puding
8886,spice clove,baharat karanfil
8887,spice cumin seed,baharat kimyon tohumu
8888,spice curry powder,baharat köri tozu
8889,spice garlic powder,baharat sarımsak tozu
8890,spice ginger,baharat zencefil
8891,spice grind pepper,baharat biber
8892,spice grind sea salt,baharat öğütme deniz tuzu
8893,spice indian chili powder,baharat hint biber tozu
8894,spice island saigon cinnamon,baharat adası saygon tarçını
8895,Spice Islands® Pure Almond Extract,baharat badem özü
8896,Spice Islands® Pure Vanilla Extract,baharat vanilya özü
8897,spice italian herb seasoning,İtalyan otu baharatı baharatı
8898,spice mustard,baharat hardalı
8899,spice nutmeg,baharat hindistan cevizi
8900,spice onion,baharat soğan
8901,spice onion powder,baharat soğan tozu
8902,spice oregano,baharat kekik
8903,spice pepper,baharat biber
8904,spice poppy seed,baharat haşhaş tohumu
8905,spice pumpkin pie spice,baharat kabak pastası baharat
8906,spice saigon cinnamon,baharat saygon tarçın
8907,spice salt,baharat tuzu
8908,spice sea salt,baharat deniz tuzu
8909,spice sesame seed,baharat susam tohumu
8910,spice thyme,baharat kekik
8911,spice turmeric,baharat zerdeçal
8912,spice vanilla extract,baharat vanilya özü
8913,spiced cane vinegar,baharatlı kamış sirkesi
8914,spiced coconut vinegar,baharatlı hindistan cevizi sirkesi
8915,spiced gouda cheese,baharatlı gouda peyniri
8916,spiced gumdrop,baharatlı sakız
8917,spicy barbeque sauce,baharatlı barbekü sosu
8918,spicy breakfast sausage,baharatlı kahvaltı sosisi
8919,spicy cheese flavored cornmeal snack,baharatlı peynir aromalı mısır unu atıştırmalık
8920,spicy cheese flavored cracker,baharatlı peynir aromalı kraker
8921,spicy chili bean,baharatlı biber fasulyesi
8922,spicy chili crisp sauce,baharatlı biber gevrek sosu
8923,spicy chili powder,baharatlı biber tozu
8924,spicy chili seasoning mix,baharatlı biber baharat karışımı
8925,spicy curry paste,baharatlı köri ezmesi
8926,spicy curry powder,baharatlı köri tozu
8927,spicy dijon mustard,baharatlı dijon hardalı
8928,spicy dill pickle spear,baharatlı dereotu turşu mızrak
8929,spicy fat free refried bean,baharatlı kızartılmış fasulye
8930,spicy flavored tempeh,baharatlı aromalı tempeh
8931,spicy harissa sauce,baharatlı harissa sosu
8932,spicy horseradish,baharatlı yaban turpu
8933,spicy italian sausage,baharatlı italyan sosisi
8934,spicy linguica sausage,baharatlı linguica sosisi
8935,spicy mayonnaise,baharatlı mayonez
8936,spicy mustard,baharatlı hardal
8937,spicy nacho cheese flavored tortilla chip,baharatlı nacho peyniri aromalı tortilla cipsi
8938,spicy nacho cheese sauce,baharatlı nacho peynir sosu
8939,spicy peanut sauce,baharatlı fıstık sosu
8940,spicy pepper marinara sauce,baharatlı biber marinara sosu
8941,spicy ranch dressing,baharatlı çiftlik sosu
8942,spicy ranch style salad dressing,baharatlı çiftlik tarzı salata sosu
8943,spicy ranch style seasoning mix,baharatlı çiftlik tarzı baharat karışımı
8944,spicy salsa,baharatlı salsa
8945,spicy sausage,baharatlı sosis
8946,spicy sausage link,baharatlı sosis bağlantısı
8947,spicy seafood rub,baharatlı deniz ürünleri ovmak
8948,spicy seafood seasoning,baharatlı deniz ürünleri baharatı
8949,spicy seasoned salt,baharatlı baharatlı tuz
8950,spicy seasoning blend,baharatlı baharat karışımı
8951,"spicy sweet dill pickles (such as Wickles""), plus 2 teaspoons pickle juice",baharatlı dereotu turşusu
8952,spicy tomato,baharatlı domates
8953,spicy tomato sauce,baharatlı domates sosu
8954,spicy turkey sausage,baharatlı hindi sosisi
8955,spicy vegetable juice cocktail,baharatlı sebze suyu kokteyli
8956,spinach,ıspanak
8957,spinach artichoke dip,ıspanaklı enginar sosu
8958,spinach cheese tortellini,ıspanaklı peynirli tortellini
8959,spinach cleaned,ıspanak temizlendi
8960,spinach dip,ıspanak sosu
8961,spinach fettuccine,ıspanaklı fettuccine
8962,spinach flavored tortilla,ıspanak aromalı tortilla
8963,spinach leave,ıspanak izni
8964,spinach linguine,ıspanaklı linguine
8965,spinach mozzarella ravioli,ıspanaklı mozarellalı mantı
8966,spinach pasta dough,ıspanaklı makarna hamuru
8967,spinach pesto,ıspanaklı pesto
8968,spinach ricotta tortellini,ıspanaklı ricotta tortellini
8969,spinach spaghetti pasta,ıspanaklı spagetti makarna
8970,spinach tortellini,ıspanaklı tortellini
8971,spinach washed,ıspanak
8972,"spinach,","ons) paket ıspanak,"
8973,"spinach, and","ons) kutu ıspanak, çözülmüş ve süzülmüş"
8974,"spinach, and stemmed","ıspanak, durulanmış ve sapları ayıklanmış"
8975,spiral carrot,sarmal havuç
8976,spiral pasta,sarmal makarna
8977,spiralized butternut squash,spiralleştirilmiş balkabağı
8978,spiralized zucchini,spiralleştirilmiş kabak
8979,spirulina powder,spirulina tozu
8980,splenda sugar,splenda şekeri
8981,split bengal,bölünmüş Bengal
8982,split chicken breast skin,bölünmüş tavuk göğsü derisi
8983,split chickpea,bölünmüş nohut
8984,split dal,bölünmüş dal
8985,split fava bean,bölünmüş bakla
8986,split lentil,bölünmüş mercimek
8987,split mung bean,bölünmüş maş fasulyesi
8988,split pea,bezelye
8989,sponge cake dessert,ons) paket hazırlanmış pandispanya tatlı fincanları
8990,sponge cake shell,sünger kek kabuğu
8991,spoon lemon juice,limon suyu
8992,spoon sugar,şekeri
8993,spoon vegetable oil,bitkisel yağ
8994,spray,sprey
8995,spray flour,sprey un
8996,spray olive oil,zeytinyağı püskürtmek
8997,spreadable cheese cracked pepper,sürülebilir peynir kırık biber
8998,spreadable cream cheese,sürülebilir krem ​​peynir
8999,spreadable garlic herb cheese,sürülebilir sarımsaklı otlu peynir
9000,spreadable goat cheese,sürülebilir keçi peyniri
9001,sprig,delikanlı
9002,sprig basil,fesleğen dalı
9003,sprig dill,Dereotu dalı
9004,sprig mint,nane dalı
9005,sprig rosemary,bir dal biberiye
9006,spring garlic stalk,bahar sarımsak sapı
9007,spring green,bahar yeşili
9008,spring lettuce mix,bahar marul karışımı
9009,spring mix,bahar karışımı
9010,spring mix green,bahar karışımı yeşil
9011,spring mix lettuce,bahar karışımı marul
9012,spring onion,soğan
9013,spring roll wrapper,bahar rulo sarıcı
9014,spring salad green,bahar salatası yeşil
9015,spring salad mix,bahar salatası karışımı
9016,spring salmon fillet,bahar somon filetosu
9017,spring water,kaynak suyu
9018,sprinkle,serpmek
9019,sprinkle colored sugar decoration,renkli şeker dekorasyonu serpin
9020,sprinkle decorating,serpin dekorasyon
9021,sprinkle rolling,haddeleme serpin
9022,sprinkling,yağmurlama
9023,sprout,filiz
9024,sprouted spelt flour,filizlenmiş yazılmamış un
9025,sprouted wheat berry,filizlenmiş buğday meyvesi
9026,sprouting broccoli,filizlenen brokoli
9027,square,kare
9028,square aluminum foil,kare alüminyum folyo
9029,square cheesecloth,kare tülbent
9030,square dinner roll,kare akşam yemeği rulosu
9031,square wonton wrapper,kare wonton sarıcı
9032,"squares bittersweet chocolate (such as Bakers®),",acı tatlı çikolata
9033,squash,kabak
9034,squash cut into cube,kabak küp şeklinde kesilmiş
9035,squash lenghwise,uzunlamasına kabak
9036,squash lengthwise,uzunlamasına kabak
9037,squash zucchini,kabak kabak
9038,squashe,kabak
9039,squeezed blood juice,sıkılmış kan suyu
9040,squeezed grapefruit juice,sıkılmış greyfurt suyu
9041,squeezed juice,sıkılmış meyve suyu
9042,squeezed key lime juice,sıkılmış limon suyu
9043,squeezed lemon juice,sıkılmış limon suyu
9044,squeezed lime juice,sıkılmış limon suyu
9045,squeezed lime juice pulp,sıkılmış limon suyu posası
9046,squeezed meyer lemon juice,sıkılmış meyer limon suyu
9047,squeezed strained juice,sıkılmış süzülmüş meyve suyu
9048,squeezed tangerine juice,sıkılmış mandalina suyu
9049,squeezed zucchini,sıkılmış kabak
9050,squid,kalamar
9051,squid ink pasta,kalamar mürekkebi makarna
9052,squid tentacle tube,kalamar dokunaç tüpü
9053,squirrel,sincap
9054,sriracha,acı sos
9055,sriracha bean,Sriracha fasulyesi
9056,sriracha chile garlic sauce,sriracha şili sarımsak sosu
9057,sriracha chile sauce,sriracha şili sosu
9058,sriracha chili garlic sauce,sriracha biber sarımsak sosu
9059,sriracha chili sauce,sriracha biber sosu
9060,sriracha flavored salt,sriracha aromalı tuz
9061,sriracha mayonnaise,sriracha mayonezi
9062,sriracha other sauce,sriracha diğer sos
9063,sriracha salt,Sriracha tuzu
9064,sriracha sauce,sriracha sosu
9065,sriracha to,Sriracha veya tadı
9066,st loui rib,st louis kaburga
9067,stackable potato chip,istiflenebilir patates cipsi
9068,stale bread,bayat ekmek
9069,stale cinnamon bread,bayat tarçınlı ekmek
9070,stale cinnamon roll,bayat tarçınlı rulo
9071,stale croissant,bayat kruvasan
9072,stale french bread,bayat fransız ekmeği
9073,stale italian bread,bayat italyan ekmeği
9074,stale sourdough french italian bread,bayat ekşi mayalı fransız italyan ekmeği
9075,stale wheat bread,bayat buğday ekmeği
9076,stale whole wheat bread cube,bayat tam buğday ekmeği küpü
9077,stalk,sap
9078,stalk celery,kereviz sapı
9079,stalk celery from the heart,kerevizi yürekten sapla
9080,stalk celery heart leave,kereviz sapı kalp izni
9081,stalk celery leave,kereviz sapı izni
9082,"stalk celery, finely","kereviz,"
9083,"stalk green onion,","yeşil soğan,"
9084,stalk leave,izini sürmek
9085,stalk rhubarb,ravent sapı
9086,"stalks celery with leaves,","kereviz yaprakları,"
9087,"stalks celery,","kereviz,"
9088,"stalks celery, finely",kereviz
9089,"stalks green onions, (white and green parts",soğan
9090,standing rib roast,ayakta kaburga kızartma
9091,star,yıldız
9092,star anise,yıldız anason
9093,star anise pod,yıldız anason kabuğu
9094,star shaped pasta,yıldız şeklinde makarna
9095,starch kinako rolling,nişasta kinako haddeleme
9096,starchy potato,nişastalı patates
9097,starfruit,yıldız meyvesi
9098,steak,biftek
9099,steak cut french fry,biftek kesilmiş patates kızartması
9100,steak cut into inch cube,biftek inç küp şeklinde kesilmiş
9101,steak fillet,biftek filetosu
9102,steak round steak,biftek yuvarlak biftek
9103,steak rub,biftek ovmak
9104,steak sauce,biftek sosu
9105,steak sauce (such as A.1,biftek sosu (A.1 gibi
9106,"steak sauce, (e.g. Heinz 57",biftek sosu (örn. Heinz 57
9107,steak seasoning,biftek baharatı
9108,steak seasoning rub,biftek baharatı ovmak
9109,steak spice seasoning mix,biftek baharat baharat karışımı
9110,steam in,buhar
9111,steam in broccoli floret,brokoli çiçeğinde buhar
9112,steam in partially broccoli,kısmen brokolide buhar
9113,steamed basmati rice,buharda basmati pirinci
9114,steamed broccoli,buğulanmış brokoli
9115,steamed cabbage,buğulanmış lahana
9116,steamed cauliflower rice,buharda karnabahar pilavı
9117,steamed japanese rice,buharda japon pirinci
9118,steamed rice,buharda pirinç
9119,steel cut oat,çelik kesilmiş yulaf
9120,steelhead trout,çelik kafalı alabalık
9121,steelhead trout fillet,çelik kafalı alabalık filetosu
9122,stem,kök
9123,stemmed,saplı
9124,stemmed carrot top,saplı havuç üst
9125,stemmed cilantro leave,saplı kişniş izni
9126,stemmed coarsely fig,saplı iri incir
9127,stemmed concord grape,saplı concord üzümü
9128,stemmed kale,saplı lahana
9129,stemmed rainbow chard,saplı gökkuşağı pazı
9130,stemmed shiitake mushroom,saplı shiitake mantarı
9131,stevia,stevia
9132,stevia erythritol sweetener,stevia eritritol tatlandırıcı
9133,stevia extract in the,stevia özü
9134,stevia in the,stevia da
9135,stevia in the baker,fırıncıdaki stevia
9136,stevia powder,stevia tozu
9137,stevia powder sweetener choice,stevia tozu tatlandırıcı seçimi
9138,stevia sugar blend,stevia şeker karışımı
9139,stevia sugar substitute,stevia şekeri yerine
9140,stevia sweetener,stevia tatlandırıcı
9141,stew beef,sığır eti güveç
9142,stew meat,güveç eti
9143,stew vegetable,sebze güveç
9144,stewed,haşlanmış
9145,stewed prune,haşlanmış kuru erik
9146,stewed tomato,haşlanmış domates
9147,stewed tomato chili seasoning,haşlanmış domates biber baharatı
9148,stewed tomato juice,haşlanmış domates suyu
9149,stewing beef,sığır eti haşlama
9150,stick,sopa
9151,stick broken into smaller,sopa daha parçalara bölündü
9152,stick butter,tereyağı sopa
9153,stick cinnamon,tarçın çubuğu
9154,stick margarine,margarin sopa
9155,sticky rice,yapışkan pirinç
9156,stiff decorator icing,sert dekoratör buzlanma
9157,stilton cheese,stilton peyniri
9158,stinging nettle,ısırgan otu
9159,stir fry rice noodle,pirinç eriştesini karıştırarak kızartın
9160,stir fry sauce,kızartma sosu
9161,stir fry vegetable,sebze kızartma
9162,stock cube,stok küp
9163,stone cornmeal,taş mısır unu
9164,stone mustard,taş hardal
9165,stone whole wheat flour,taş tam buğday unu
9166,store bought coconut macaroon,mağazadan hindistan cevizli acıbadem kurabiyesi satın aldım
9167,store bought garlic,mağazadan satın alınan sarımsak
9168,store bought ravioli,mağazadan satın alınan mantı
9169,stove top stuffing mix chicken,soba üstü doldurma karışımı tavuk
9170,strained lemon juice,süzülmüş limon suyu
9171,strained tomato,süzme domates
9172,strand,iplik
9173,straw,pipet
9174,straw mushroom,saman mantarı
9175,strawberries,çilek
9176,"strawberries, hulled and","çilek, kabuğu ve dörde bölünmüş"
9177,strawberry,çilek
9178,strawberry banana yogurt,çilekli muzlu yoğurt
9179,strawberry cake mix,çilekli kek karışımı
9180,strawberry cleaned,çilek temizlenmiş
9181,strawberry danish dessert mix,çilekli danimarka tatlısı karışımı
9182,strawberry drink mix,çilekli içecek karışımı
9183,strawberry extract,çilek özü
9184,strawberry flavored cream cheese,çilek aromalı krem ​​peynir
9185,strawberry flavored milk powder,çilek aromalı süt tozu
9186,strawberry flavored yogurt,çilek aromalı yoğurt
9187,strawberry for garnish,
9188,strawberry freezer jam,çilek dondurucu reçeli
9189,strawberry glaze,çilek sır
9190,strawberry halve,çilek yarısı
9191,strawberry ice cream,çilekli dondurma
9192,strawberry in juice,meyve suyunda çilek
9193,strawberry in sugar,şekerli çilek
9194,strawberry jam,çilek reçeli
9195,strawberry jelly,çilek jölesi
9196,strawberry juice,çilek suyu
9197,strawberry leave,çilek izni
9198,strawberry lemon cake mix lemonade glaze mix,çilek limonlu kek karışımı limonata sır karışımı
9199,strawberry licorice twist,çilekli meyankökü bükümü
9200,strawberry other berry decorating,çilek diğer meyve dekorasyonu
9201,strawberry pie filling,çilekli pasta dolması
9202,strawberry preserve,çilek konservesi
9203,strawberry pudding mix,çilekli puding karışımı
9204,strawberry puree,çilek püresi
9205,strawberry sandwich cooky,çilekli sandviç kurabiyesi
9206,strawberry sherbet,çilek şerbeti
9207,strawberry shortcake,çilekli kurabiye
9208,strawberry sorbet,çilek şerbeti
9209,strawberry syrup,çilek şurubu
9210,strawberry yogurt,çilekli yoğurt
9211,strawberry yogurt fruit spread,çilekli yoğurt meyve yayılması
9212,string,sicim
9213,string bean,çalı fasulyesi
9214,string cheese,telli peynir
